geom,Name_fi,Address_fi,Link_fi,Link_en,Selite_fi,Selite_en
"POINT (25485095 6672856)",Olarin asukaspuisto,"Meteorinkatu 7, 02210 Espoo","<a href=""https://www.espoo.fi/fi/olarin-asukaspuisto"" target=""_palvelu"">Olarin asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/olarin-asukaspuisto"" target=""_palvelu"">Olarin asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25502459 6677431)",Leikkipuisto Hilleri,"Hillerikuja 6, 00800 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-hilleri"" target=""_palvelu"">Leikkipuisto Hilleri</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-hilleri"" target=""_palvelu"">Playground Hilleri</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25479780 6671150)",Kivenlahden asukaspuisto,"Merivirta 12 A, 02320 Espoo","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/kivenlahden-asukaspuisto"" target=""_palvelu"">Kivenlahden asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/kivenlahden-asukaspuisto"" target=""_palvelu"">Kivenlahden asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25491857 6680089)",Leikkipuisto Vähätupa,"Vähäntuvantie 4a, 00390 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-vahatupa"" target=""_palvelu"">Leikkipuisto Vähätupa</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-vahatupa"" target=""_palvelu"">Playground Vähätupa</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25485540 6687811)",Hiirisuon asukaspuisto,"Pohjoisentie 1, 02970 Espoo","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/hiirisuon-asukaspuisto"" target=""_palvelu"">Hiirisuon asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/kasvatus-ja-opetus/varhaiskasvatus/hiirisuon-asukaspuisto"" target=""_palvelu"">Hiirisuon asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25481253 6673973)",Latokasken asukaspuisto,"Lehtikaskentie 7, 02340 Espoo","<a href=""https://www.espoo.fi/fi/latokasken-asukaspuisto"" target=""_palvelu"">Latokasken asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/latokasken-asukaspuisto"" target=""_palvelu"">Latokasken asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25500718 6680513)",Leikkipuisto Maasälpä,"Maasälväntie 3a, 00710 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maasalpa"" target=""_palvelu"">Leikkipuisto Maasälpä</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maasalpa"" target=""_palvelu"">Playground Maasälpä</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25498536 6672684)",Perhetalo Kuutti,"Merikasarminkatu 8, 00160 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/perhetalo-kuutti"" target=""_palvelu"">Perhetalo Kuutti</a>","<a href=""https://www.hel.fi/en/childhood-and-education/family-house-kuutti"" target=""_palvelu"">Family House Kuutti</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25501558 6684678)",Leikkipuisto Maatulli,"Maatullinkuja 8 K, 00750 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maatulli"" target=""_palvelu"">Leikkipuisto Maatulli</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maatulli"" target=""_palvelu"">Playground Maatulli</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25493365 6680978)",Leikkipuisto Kannelmäki,"Kanneltie 1a, 00420 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kannelmaki"" target=""_palvelu"">Leikkipuisto Kannelmäki</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kannelmaki"" target=""_palvelu"">Playground Kannelmäki</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497270 6682899)",Leikkipuisto Torpparinmäki,"Käräjätuvantie 3, 00690 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ja-perhetalo-torpparinmaki"" target=""_palvelu"">Leikkipuisto Torpparinmäki</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-ja-perhetalo-torpparinmaki"" target=""_palvelu"">Playground Torpparinmäki</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25498691 6676831)",Leikkipuisto Arabia,"Arabianpolku 1 A, 00560 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-arabia"" target=""_palvelu"">Leikkipuisto Arabia</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-arabia"" target=""_palvelu"">Playground Arabia</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25499315 6684749)",Leikkipuisto Jalopeura,"Jalopeurantie 8, 00740 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-jalopeura"" target=""_palvelu"">Leikkipuisto Jalopeura</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-jalopeura"" target=""_palvelu"">Playground Jalopeura</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497769 6681140)",Leikkipuisto Etupelto,"Etupellontie 8, 00680 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-etupelto"" target=""_palvelu"">Leikkipuisto Etupelto</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-etupelto"" target=""_palvelu"">Playground Etupelto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25500113 6684237)",Leikkipuisto Kesanto,"Kesantotie 13, 00740 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kesanto"" target=""_palvelu"">Leikkipuisto Kesanto</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kesanto"" target=""_palvelu"">Playground Kesanto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492743 6678404)",Leikkipuisto Strömberg,"Strömberginpolku 5, 00380 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-stromberg"" target=""_palvelu"">Leikkipuisto Strömberg</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-stromberg"" target=""_palvelu"">Playground Strömberg</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25489985 6679743)",Leppävaaran asukaspuisto,"Pikkulinnunreitti 16 A, 02660 Espoo","<a href=""https://www.espoo.fi/fi/leppavaaran-asukaspuisto"" target=""_palvelu"">Leppävaaran asukaspuisto</a>","<a href=""https://www.espoo.fi/fi/leppavaaran-asukaspuisto"" target=""_palvelu"">Leppävaaran asukaspuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497734 6677629)",Leikkipuisto Intia,"Intiankatu 44, 00560 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-intia"" target=""_palvelu"">Leikkipuisto Intia</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-intia"" target=""_palvelu"">Playground Intia</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25503242 6674230)",Leikkipuisto Kiiltotähti,"Ilomäentie 8, 00840 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kiiltotahti"" target=""_palvelu"">Leikkipuisto Kiiltotähti</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kiiltotahti"" target=""_palvelu"">Playground Kiiltotähti</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25503503 6680362)",Leikkipuisto Kipinäpuisto,"Kivikonkaari 31, 00940 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kipinapuisto"" target=""_palvelu"">Leikkipuisto Kipinäpuisto</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kipinapuisto"" target=""_palvelu"">Playground Kipinäpuisto</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492934 6676385)",Leikkipuisto Munkki,"Perustie 38, 00330 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-munkki"" target=""_palvelu"">Leikkipuisto Munkki</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-munkki"" target=""_palvelu"">Playground Munkki</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25497237 6675118)",Leikkipuisto Brahe,"Porvoonkatu 4, 00510 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-brahe"" target=""_palvelu"">Leikkipuisto Brahe</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-brahe"" target=""_palvelu"">Playground Brahe</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25492627 6680613)",Leikkipuisto Trumpetti,"Trumpettikuja 5, 00420 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-trumpetti"" target=""_palvelu"">Leikkipuisto Trumpetti</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-trumpetti"" target=""_palvelu"">Playground Trumpetti</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
"POINT (25501844 6679703)",Leikkipuisto Viikkari,"Laivuri Petterin kuja 3, 00790 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-viikkari"" target=""_palvelu"">Leikkipuisto Viikkari</a>","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-viikkari"" target=""_palvelu"">Playground Viikkari</a>",Ohjattu leikkipuistotoiminta,Supervised playground activities
